+------------+------------+----------+------------------+-------------------+----------------------+
| Audio name | Frame rate | Channels | Bytes per sample | Maximum amplitude | length of audio file |
+------------+------------+----------+------------------+-------------------+----------------------+
| Bender-01  | 44100      | 1        | 1                | 94                | 1567                 |
| Bender-02  | 44100      | 1        | 1                | 63                | 2183                 |
| Bender-03  | 44100      | 1        | 1                | 61                | 1161                 |
| Bender-04  | 44100      | 1        | 1                | 51                | 1370                 |
| Bender-05  | 44100      | 1        | 1                | 80                | 2043                 |
| Bender-06  | 44100      | 1        | 1                | 70                | 1579                 |
| Bender-07  | 44100      | 1        | 1                | 95                | 1939                 |
| Bender-08  | 44100      | 1        | 1                | 78                | 2125                 |
| Bender-09  | 44100      | 1        | 1                | 66                | 2717                 |
| Bender-10  | 44100      | 1        | 1                | 106               | 1300                 |
| Bender-11  | 44100      | 1        | 1                | 48                | 2299                 |
| Bender-12  | 44100      | 1        | 1                | 48                | 1393                 |
| Bender-13  | 44100      | 1        | 1                | 72                | 1405                 |
| Bender-14  | 44100      | 1        | 1                | 71                | 1254                 |
| Bender-15  | 44100      | 1        | 1                | 95                | 1939                 |
| Cartoon-01 | 11025      | 1        | 1                | 98                | 4292                 |
| Cartoon-02 | 11025      | 1        | 1                | 122               | 2583                 |
| Cartoon-03 | 11025      | 1        | 1                | 116               | 2495                 |
| Cartoon-04 | 11025      | 1        | 1                | 127               | 2553                 |
| Cartoon-11 | 11025      | 1        | 1                | 114               | 2108                 |
| Cartoon-12 | 11025      | 1        | 1                | 88                | 1427                 |
| Cartoon-13 | 11025      | 1        | 1                | 128               | 4680                 |
| Cartoon-14 | 11025      | 1        | 1                | 128               | 4000                 |
| Cartoon-15 | 8000       | 1        | 1                | 112               | 14484                |
| Cartoon-16 | 8000       | 1        | 1                | 126               | 1789                 |
| Cartoon-17 | 11025      | 1        | 1                | 99                | 2730                 |
| Cartoon-18 | 11025      | 1        | 1                | 71                | 7279                 |
| Cartoon-19 | 11025      | 1        | 1                | 71                | 12982                |
| Cartoon-20 | 11025      | 1        | 1                | 71                | 4293                 |
| Cartoon-21 | 11025      | 1        | 1                | 107               | 721                  |
| Cartoon-22 | 11025      | 1        | 1                | 102               | 1265                 |
| Cartoon-23 | 11025      | 1        | 1                | 112               | 688                  |
| Cartoon-24 | 11025      | 1        | 1                | 106               | 774                  |
| Cartoon-25 | 11025      | 1        | 1                | 102               | 1807                 |
| Cartoon-26 | 11025      | 1        | 1                | 86                | 1446                 |
| Cartoon-27 | 11025      | 1        | 1                | 107               | 532                  |
| Cartoon-28 | 11025      | 1        | 1                | 118               | 2507                 |
| Cartoon-29 | 11025      | 1        | 1                | 110               | 369                  |
| Cartoon-30 | 11025      | 1        | 1                | 98                | 553                  |
| Email-02   | 22050      | 1        | 1                | 118               | 3094                 |
| Email-03   | 11025      | 1        | 1                | 128               | 1367                 |
| Email-04   | 11025      | 1        | 1                | 128               | 3250                 |
| Email-05   | 11025      | 1        | 1                | 125               | 3112                 |
| Email-06   | 11025      | 1        | 1                | 128               | 1778                 |
| Email-07   | 22050      | 1        | 1                | 127               | 968                  |
| Email-08   | 11025      | 1        | 1                | 127               | 3287                 |
| Email-09   | 11025      | 1        | 1                | 127               | 2404                 |
| Email-10   | 11025      | 1        | 1                | 128               | 1413                 |
| Email-11   | 11025      | 1        | 1                | 127               | 1180                 |
| Email-12   | 22050      | 1        | 1                | 128               | 3093                 |
| Email-13   | 11025      | 1        | 1                | 128               | 3359                 |
| Email-14   | 11025      | 1        | 1                | 127               | 2089                 |
| Email-15   | 11025      | 1        | 1                | 127               | 1161                 |
| Email-16   | 22050      | 1        | 1                | 118               | 1289                 |
| Funny-01   | 11025      | 1        | 1                | 128               | 16945                |
| Funny-02   | 22050      | 2        | 1                | 109               | 3020                 |
| Funny-03   | 11025      | 1        | 1                | 128               | 1707                 |
| Funny-04   | 22050      | 1        | 1                | 102               | 5011                 |
| Funny-05   | 22050      | 1        | 1                | 127               | 4332                 |
| Funny-06   | 22050      | 1        | 1                | 124               | 8526                 |
| Funny-07   | 8000       | 1        | 1                | 128               | 5491                 |
| Funny-08   | 8000       | 1        | 1                | 88                | 2775                 |
| Funny-09   | 8000       | 1        | 1                | 128               | 4820                 |
| Funny-10   | 8000       | 1        | 1                | 128               | 2154                 |
| Funny-11   | 22050      | 1        | 1                | 128               | 5325                 |
| Funny-12   | 8000       | 1        | 1                | 125               | 3819                 |
| Funny-14   | 8000       | 1        | 1                | 88                | 15668                |
| Funny-15   | 8000       | 1        | 1                | 128               | 8813                 |
| Funny-16   | 8000       | 1        | 1                | 128               | 7132                 |
| Movie-01   | 11025      | 1        | 1                | 128               | 4939                 |
| Movie-02   | 11025      | 1        | 1                | 127               | 5500                 |
| Movie-03   | 11025      | 1        | 1                | 127               | 2550                 |
| Movie-04   | 11025      | 1        | 1                | 121               | 6014                 |
| Movie-06   | 11025      | 1        | 1                | 127               | 3620                 |
| Movie-07   | 11025      | 1        | 1                | 119               | 1600                 |
| Movie-08   | 11025      | 1        | 1                | 79                | 1213                 |
| Movie-09   | 11025      | 1        | 1                | 95                | 2500                 |
| Movie-10   | 11025      | 1        | 1                | 127               | 3111                 |
| Movie-11   | 11025      | 1        | 1                | 128               | 2237                 |
| Movie-12   | 11025      | 1        | 1                | 128               | 1598                 |
| Movie-13   | 11025      | 1        | 1                | 128               | 2495                 |
| Movie-14   | 11025      | 1        | 1                | 128               | 4000                 |
| Movie-15   | 11025      | 1        | 1                | 128               | 3750                 |
| Movie-16   | 11025      | 1        | 1                | 113               | 2516                 |
| Various-01 | 8000       | 1        | 1                | 55                | 2310                 |
| Various-02 | 11025      | 1        | 1                | 119               | 1676                 |
| Various-03 | 11000      | 1        | 1                | 122               | 323                  |
| Various-04 | 11025      | 1        | 1                | 128               | 490                  |
| Various-05 | 5500       | 1        | 1                | 120               | 2507                 |
| Various-06 | 22050      | 1        | 1                | 90                | 624                  |
| Various-07 | 8000       | 1        | 1                | 128               | 2680                 |
| Various-08 | 29400      | 2        | 2                | 32766             | 462                  |
| Various-09 | 22050      | 1        | 1                | 120               | 2070                 |
